station_id,longitude,latitude,slow_count,fast_count,charge_count,tazid,station_type,dominant_type,mixed_flag,total_rows,all_state_null_rows,primary_valid_rows,primary_valid_pct,full_occ_pct,mean_utilisation,median_utilisation,utilisation_sd,utilisation_iqr,peak_utilisation_p95,max_utilisation,daytime_mean_utilisation,overnight_mean_utilisation,weekday_mean_utilisation,weekend_mean_utilisation,mean_duration,median_duration,mean_volume,total_volume,mean_s_price,mean_e_price,median_s_price,median_e_price,price_sd,idle_prop,occupied_prop,excluded_primary_rows,excluded_primary_pct,n_months_valid,seasonal_slope,null_pct,overnight_minus_daytime,weekend_minus_weekday,low_coverage_flag,modelling_eligible,issue_log
1001,113.784724,22.714121,20,0,20,559,slow_only,slow,FALSE,52128,10684,37644,0.7221454880294659,0.0916899913136102,0.3404393794496131,0.35,0.11512241938011546,0.15000000000000002,0.5,0.95,0.4198020991907738,0.28556438791731653,0.3436728452616462,0.3324346782383858,0.08641040626218349,0.0833333333333333,0.6048728438351759,22769.833333331364,0.4699999999998214,1.1999999999995734,0.47,1.2,0,3.453405589204123e-4,0,14484,0.27785451197053407,6,-0.02434144043710267,0.20495702885205647,-0.1342377112734573,-0.011238167023260415,FALSE,TRUE,high_full_occupancy
1002,113.785002,22.7259,22,0,22,558,slow_only,slow,FALSE,52128,10680,33260,0.6380448127685697,0.19754873576511003,0.2769624993167017,0.2727272727272727,0.06745980312343507,0.09090909090909091,0.36363636363636365,0.7727272727272727,0.2564615129396347,0.29988093005051153,0.2777609838599932,0.2749660358584811,0.11369763479656249,0.0833333333333333,0.7958834435758008,26471.083333331135,0.6599999999998715,1,0.6599999999999999,1,0,3.908598917618761e-4,0,18868,0.36195518723143033,6,0.011298612698334907,0.2048802946593002,0.04341941711087682,-0.0027949480015120876,TRUE,FALSE,low_coverage
1003,113.787971,22.735538,6,0,6,558,slow_only,slow,FALSE,52128,13601,38527,0.7390845610804174,0.002024554208735023,0.07788044747838298,0,0.12348428036820222,0.16666666666666666,0.3333333333333333,1,0.06969885935510449,0.08519963584341154,0.07897637127735836,0.07513934326911334,0.015017606700062573,0,0.1051232469004536,4050.083333333776,0.7599999999994013,1.0999999999992067,0.76,1.1,0,0.6481688166740208,0.00202455420873673,13601,0.2609154389195826,6,-0.033933063844119246,0.2609154389195826,0.015500776488307055,-0.003837028008245022,FALSE,TRUE,pass
1004,113.788126,22.693449,6,5,11,596,mixed,slow_dominant_mixed,TRUE,52128,13417,21614,0.4146332105586249,0.04804835834779814,0.5454461333983976,0.5454545454545454,0.21839300839457207,0.36363636363636365,0.9090909090909091,1,0.5607902735562253,0.5429958244134068,0.538991394269931,0.5614499795117923,0.36359149933684387,0.3333333333333333,8.405080811819687,181667.4166666707,0.3444091792356125,0.8285361339876963,0.29,0.79,0.10598306598352186,0.007032478948829462,0.027944850559822338,30514,0.5853667894413751,6,-0.04798957334599106,0.2573856660527931,-0.01779444914281858,0.022458585241861284,TRUE,FALSE,very_low_coverage
1005,113.788126,22.693449,6,5,11,596,mixed,slow_dominant_mixed,TRUE,52128,51163,538,0.010320748925721301,0.003108808290154749,0.536160865157147,0.5454545454545454,0.1727632353846236,0.18181818181818182,0.8181818181818182,0.9090909090909091,0.5788031064412973,0.4677419354838709,0.497821667150741,0.5894949494949485,0.47304832713754696,0.5,10.946096654275065,5888.9999999999845,0.36851301115241497,0.7900000000000065,0.29,0.79,0,0.024163568773234202,0,51590,0.9896792510742787,2,NA,0.9814878759975445,-0.1110611709574264,0.09167328234420752,TRUE,FALSE,very_low_coverage
1006,113.790987,22.731351,10,0,10,594,slow_only,slow,FALSE,52128,126,18709,0.35890500306936773,0.07128571978000765,0.2770270992570312,0.3,0.18697515771731346,0.30000000000000004,0.6,0.9,0.21794032723773202,0.46360593017694857,0.247146789673386,0.3532649962034925,0.2194353876031163,0.1666666666666666,1.536047713221797,28737.9166666666,0.38991919397076913,1.0145278635950181,0.3598000000000001,1.0927,0.14644432888551087,0.09268266609653109,0,33419,0.6410949969306323,6,-0.01612970330567897,0.0024171270718232043,0.24566560293921655,0.10611820653010651,TRUE,FALSE,very_low_coverage
1007,113.790987,22.731351,10,0,10,594,slow_only,slow,FALSE,52128,51966,13,2.493861264579497e-4,0.04938271604941287,0.2,0.2,0,0,0.2,0.2,0.19999999999999998,NA,NA,0.2,0.16666666666666657,0.1666666666666666,1.1666666666666663,15.16666666666666,0.44730000000000003,1.0927000000000002,0.4473,1.0927,0,0,0,52115,0.999750613873542,1,NA,0.9968922651933702,NA,NA,TRUE,FALSE,very_low_coverage
1008,113.791756,22.698816,38,6,44,596,mixed,slow_dominant_mixed,TRUE,52128,10684,38195,0.7327156230816452,0.07839494257313537,0.5314195099310991,0.45454545454545453,0.17317905975797712,0.31818181818181823,0.7954545454545454,0.9772727272727273,0.5214526271760832,0.5380409691097862,0.5304197083326329,0.5339360455382515,0.18471440415411036,0.1666666666666666,1.743513548893914,66593.50000000304,0.6599999999998692,1,0.6599999999999999,1,0,3.403586856918445e-4,0,13933,0.2672843769183548,6,0.06299421022610117,0.20495702885205647,0.016588341933702955,0.0035163372056186137,FALSE,TRUE,high_full_occupancy
1009,113.794798,22.716747,0,72,72,595,fast_only,fast,FALSE,52128,1244,33587,0.6443178330263966,0.003792940806536079,0.30228544112635997,0.2916666666666667,0.12666899450736385,0.1388888888888889,0.5277777777777778,1,0.27210919304014414,0.34801264679313426,0.29812275273852046,0.3125825950058052,1.666587270868686,1.5833333333333333,249.64640337035163,8384873.75,0.33763013665999336,0.8950771608058855,0.4084,0.7716,0.18098497525016696,2.9773424241522017e-5,0.005299669514990919,18541,0.35568216697360344,6,-0.022915225460918905,0.023864333947206877,0.07590345375299012,0.01445984226728475,TRUE,FALSE,low_coverage
1010,113.794798,22.716747,0,72,72,595,fast_only,fast,FALSE,52128,51981,56,0.001074278698588091,0,0.32986111111111105,0.3611111111111111,0.08840818567968675,0.16666666666666669,0.4305555555555556,0.5,0.34953703703703687,NA,0.4050925925925924,0.2430555555555557,1.8005952380952395,1.9166666666666663,270.0892857142857,15125,0.39741071428571395,0.8593750000000012,0.5841000000000001,0.6959,0.17718949409652335,0,0,52072,0.9989257213014119,1,NA,0.9971800184162063,NA,-0.1620370370370367,TRUE,FALSE,very_low_coverage
