station_id,n_rows,failed_time_rows,all_state_null_rows,all_state_null_pct,missing_utilisation_rows,invalid_utilisation_rows,negative_state_rows,invalid_price_rows,invalid_duration_rows,invalid_volume_rows,full_occupancy_rows,duplicate_time_rows,utilisation_sd_raw,full_occupancy_pct,zero_variance_flag,data_quality_flag
1001,52128,0,10684,0.20495702885205647,10684,0,0,0,0,0,3800,0,0.2197011470046841,0.07289748311847759,FALSE,high_full_occupancy
1002,52128,0,10680,0.2048802946593002,10680,0,0,0,0,0,8188,0,0.29415485777908024,0.15707489257213014,FALSE,high_full_occupancy
1003,52128,0,13601,0.2609154389195826,13601,0,0,0,0,0,78,0,0.12348428036820222,0.001496316758747698,FALSE,pass
1004,52128,0,13417,0.2573856660527931,13417,0,0,17097,0,0,1860,0,0.21894500625517627,0.035681399631675874,FALSE,pass
1005,52128,0,51163,0.9814878759975445,51163,0,0,427,0,0,3,0,0.18053926003751375,5.7550644567219155e-5,FALSE,high_missing
1006,52128,0,126,0.0024171270718232043,126,0,0,32456,0,0,3707,0,0.30072434119871516,0.0711134131368938,FALSE,high_full_occupancy
1007,52128,0,51966,0.9968922651933702,51966,0,0,149,0,0,8,0,0.30437912685340984,1.534683855125844e-4,FALSE,high_missing
1008,52128,0,10684,0.20495702885205647,10684,0,0,0,0,0,3249,0,0.20857553703557233,0.06232734806629834,FALSE,high_full_occupancy
1009,52128,0,1244,0.023864333947206877,1244,0,0,17297,0,0,193,0,0.18428072619867808,0.003702424800491099,FALSE,pass
1010,52128,0,51981,0.9971800184162063,51981,0,0,91,0,0,0,0,0.15173473615746114,0,FALSE,high_missing
1011,52128,0,1240,0.023787599754450585,1240,0,0,17304,0,0,198,0,0.20167819193159583,0.003798342541436464,FALSE,pass
1012,52128,0,51979,0.9971416513198281,51979,0,0,65,0,0,0,0,0.14480352725322074,0,FALSE,high_missing
1013,52128,0,2929,0.056188612645794965,2929,0,0,0,0,0,83,0,0.061347815015013796,0.0015922344996930633,FALSE,pass
1014,52128,0,990,0.01899171270718232,990,0,0,0,0,0,130,0,0.13732607386554044,0.0024938612645794968,FALSE,pass
1015,52128,0,990,0.01899171270718232,990,0,0,0,0,0,129,0,0.12910495301559607,0.0024746777163904238,FALSE,pass
1016,52128,0,10679,0.2048611111111111,10679,0,0,0,0,0,4091,0,0.2642865577017565,0.07847989564149785,FALSE,high_full_occupancy
1017,52128,0,990,0.01899171270718232,990,0,0,0,0,0,221,0,0.2360157056716886,0.004239564149785144,FALSE,pass
1018,52128,0,13601,0.2609154389195826,13601,0,0,0,0,0,152,0,0.11036246275689951,0.0029158993247391037,FALSE,pass
1019,52128,0,1551,0.029753683241252302,1551,0,0,0,0,0,579,0,0.22925653519571546,0.011107274401473296,FALSE,pass
1020,52128,0,51966,0.9968922651933702,51966,0,0,0,0,0,0,0,0.15940537777148972,0,FALSE,high_missing
