station_id,longitude,latitude,slow_count,fast_count,charge_count,tazid,observed_fast_count,observed_slow_count,observed_total_type_count,total_rows,non_null_rows,fast_share,slow_share,station_type,dominant_type,mixed_flag,pile_count_type_mismatch
1001,113.784724,22.714121,20,0,20,559,0,20,20,41444,41444,0,1,slow_only,slow,FALSE,FALSE
1002,113.785002,22.7259,22,0,22,558,0,22,22,41448,41448,0,1,slow_only,slow,FALSE,FALSE
1003,113.787971,22.735538,6,0,6,558,0,6,6,38527,38527,0,1,slow_only,slow,FALSE,FALSE
1004,113.788126,22.693449,6,5,11,596,5,6,11,38711,38711,0.45454545454545453,0.5454545454545454,mixed,slow_dominant_mixed,TRUE,FALSE
1005,113.788126,22.693449,6,5,11,596,5,6,11,965,965,0.45454545454545453,0.5454545454545454,mixed,slow_dominant_mixed,TRUE,FALSE
1006,113.790987,22.731351,10,0,10,594,0,10,10,52002,52002,0,1,slow_only,slow,FALSE,FALSE
1007,113.790987,22.731351,10,0,10,594,0,10,10,162,162,0,1,slow_only,slow,FALSE,FALSE
1008,113.791756,22.698816,38,6,44,596,6,38,44,41444,41444,0.13636363636363635,0.8636363636363636,mixed,slow_dominant_mixed,TRUE,FALSE
1009,113.794798,22.716747,0,72,72,595,72,0,72,50884,50884,1,0,fast_only,fast,FALSE,FALSE
1010,113.794798,22.716747,0,72,72,595,72,0,72,147,147,1,0,fast_only,fast,FALSE,FALSE
1011,113.795042,22.716825,0,65,65,595,65,0,65,50888,50888,1,0,fast_only,fast,FALSE,FALSE
1012,113.795042,22.716825,0,65,65,595,65,0,65,149,149,1,0,fast_only,fast,FALSE,FALSE
1013,113.796557,22.728199,28,0,28,594,0,28,28,49199,49199,0,1,slow_only,slow,FALSE,FALSE
1014,113.802875,22.689785,12,0,12,598,0,12,12,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1015,113.804285,22.743436,12,0,12,587,0,12,12,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1016,113.806076,22.673562,22,0,22,553,0,22,22,41449,41449,0,1,slow_only,slow,FALSE,FALSE
1017,113.806362,22.747566,6,0,6,587,0,6,6,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1018,113.813599,22.77499,6,0,6,576,0,6,6,38527,38527,0,1,slow_only,slow,FALSE,FALSE
1019,113.81375800000001,22.668147,13,0,13,552,0,13,13,50577,50577,0,1,slow_only,slow,FALSE,FALSE
1020,113.81375800000001,22.668147,13,0,13,552,0,13,13,162,162,0,1,slow_only,slow,FALSE,FALSE
1021,113.813893,22.732382,12,0,12,588,0,12,12,49199,49199,0,1,slow_only,slow,FALSE,FALSE
1022,113.814009,22.732434,12,0,12,588,0,12,12,49200,49200,0,1,slow_only,slow,FALSE,FALSE
1023,113.814083,22.773128,0,32,32,576,32,0,32,38325,38325,1,0,fast_only,fast,FALSE,FALSE
1024,113.814433,22.773105,0,38,38,576,38,0,38,25634,25634,1,0,fast_only,fast,FALSE,FALSE
1025,113.814433,22.773105,0,24,24,576,24,0,24,27431,27431,1,0,fast_only,fast,FALSE,FALSE
1026,113.814433,22.773105,0,62,62,576,62,0,62,11032,11032,1,0,fast_only,fast,FALSE,FALSE
1027,113.81453,22.73241,17,0,17,588,0,17,17,49200,49200,0,1,slow_only,slow,FALSE,FALSE
1028,113.814955,22.734709,12,0,12,587,0,12,12,49198,49198,0,1,slow_only,slow,FALSE,FALSE
1029,113.81544,22.70772,0,78,78,592,78,0,78,50892,50892,1,0,fast_only,fast,FALSE,FALSE
1030,113.81544,22.70772,0,78,78,592,78,0,78,175,175,1,0,fast_only,fast,FALSE,FALSE
1031,113.816086,22.735424,12,0,12,587,0,12,12,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1032,113.816457,22.737977,10,0,10,587,0,10,10,51137,51137,0,1,slow_only,slow,FALSE,FALSE
1033,113.816864,22.732245,38,0,38,588,0,38,38,30055,30055,0,1,slow_only,slow,FALSE,FALSE
1034,113.816864,22.732245,33,0,33,588,0,0,0,NA,NA,NA,NA,unknown,unknown,FALSE,NA
1035,113.816868,22.659092,36,0,36,552,0,36,36,49199,49199,0,1,slow_only,slow,FALSE,FALSE
1036,113.816951,22.732771,55,0,55,588,0,0,0,NA,NA,NA,NA,unknown,unknown,FALSE,NA
1037,113.816951,22.732771,55,0,55,588,0,55,55,52122,52122,0,1,slow_only,slow,FALSE,FALSE
1038,113.816985,22.733921,76,4,80,587,4,76,80,51996,51996,0.05,0.95,mixed,slow_dominant_mixed,TRUE,FALSE
1039,113.816985,22.733921,75,4,79,587,0,0,0,NA,NA,NA,NA,unknown,unknown,FALSE,NA
1040,113.817222,22.703489,0,10,10,592,10,0,10,41448,41448,1,0,fast_only,fast,FALSE,FALSE
1041,113.819553,22.747975,12,0,12,585,0,12,12,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1042,113.819783,22.771169,19,0,19,576,0,19,19,49200,49200,0,1,slow_only,slow,FALSE,FALSE
1043,113.822971,22.768229,15,0,15,576,0,15,15,49199,49199,0,1,slow_only,slow,FALSE,FALSE
1044,113.823965,22.731323,6,0,6,584,0,6,6,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1045,113.824374,22.647778,0,36,36,1029,36,0,36,37646,37646,1,0,fast_only,fast,FALSE,FALSE
1046,113.824877,22.763476,0,30,30,580,30,0,30,30424,30424,1,0,fast_only,fast,FALSE,FALSE
1047,113.82565,22.727942,20,0,20,589,0,20,20,44268,44268,0,1,slow_only,slow,FALSE,FALSE
1048,113.82565,22.727942,20,0,20,589,0,20,20,149,149,0,1,slow_only,slow,FALSE,FALSE
1049,113.825795,22.733191,8,0,8,584,0,8,8,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1050,113.826349,22.716272,5,5,10,589,5,5,10,38130,38130,0.5,0.5,mixed,fast_dominant_mixed,TRUE,FALSE
1051,113.827284,22.672488,15,0,15,1028,0,15,15,41321,41321,0,1,slow_only,slow,FALSE,FALSE
1052,113.8273,22.752012,8,0,8,580,0,8,8,40465,40465,0,1,slow_only,slow,FALSE,FALSE
1053,113.82838,22.728282,0,6,6,589,6,0,6,27389,27389,1,0,fast_only,fast,FALSE,FALSE
1054,113.82838,22.728282,12,0,12,589,0,12,12,52002,52002,0,1,slow_only,slow,FALSE,FALSE
1055,113.82838,22.728282,11,0,11,589,0,0,0,NA,NA,NA,NA,unknown,unknown,FALSE,NA
1056,113.828819,22.71482,4,0,4,589,0,4,4,38527,38527,0,1,slow_only,slow,FALSE,FALSE
1057,113.829524,22.771198,0,17,17,575,17,0,17,43969,43969,1,0,fast_only,fast,FALSE,FALSE
1058,113.829739,22.7304,24,0,24,584,0,24,24,51136,51136,0,1,slow_only,slow,FALSE,FALSE
1059,113.829771,22.722116,22,0,22,589,0,22,22,46873,46873,0,1,slow_only,slow,FALSE,FALSE
1060,113.829897,22.732951,17,0,17,584,0,17,17,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1061,113.830914,22.720581,5,5,10,589,5,5,10,50227,50227,0.5,0.5,mixed,fast_dominant_mixed,TRUE,FALSE
1062,113.832054,22.713874,12,0,12,582,0,12,12,38527,38527,0,1,slow_only,slow,FALSE,FALSE
1063,113.832858,22.724242,1,0,1,589,0,1,1,51138,51138,0,1,slow_only,slow,FALSE,FALSE
1064,113.833016,22.722722,12,0,12,589,0,12,12,38528,38528,0,1,slow_only,slow,FALSE,FALSE
