station_id,total_rows,valid_rows,expected_rows,coverage_rate,invalid_rows,invalid_pct,min_time,max_time,duplicate_rows,duplicate_time_keys,quality_action
1001,52128,41444,52128,0.7950429711479435,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1002,52128,41448,52128,0.7951197053406999,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1003,52128,38527,52128,0.7390845610804174,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1004,52128,38711,52128,0.7426143339472069,17097,0.44165741003849035,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1005,52128,965,52128,0.018512124002455495,427,0.44248704663212435,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1006,52128,52002,52128,0.9975828729281768,32456,0.6241298411599554,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1007,52128,162,52128,0.003107734806629834,149,0.9197530864197531,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1008,52128,41444,52128,0.7950429711479435,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1009,52128,50884,52128,0.9761356660527931,17297,0.3399300369467809,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1010,52128,147,52128,0.0028199815837937387,91,0.6190476190476191,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1011,52128,50888,52128,0.9762124002455494,17304,0.3400408740764031,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1012,52128,149,52128,0.0028583486801718847,65,0.436241610738255,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1013,52128,49199,52128,0.943811387354205,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1014,52128,51138,52128,0.9810082872928176,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1015,52128,51138,52128,0.9810082872928176,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1016,52128,41449,52128,0.7951388888888888,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1017,52128,51138,52128,0.9810082872928176,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1018,52128,38527,52128,0.7390845610804174,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1019,52128,50577,52128,0.9702463167587477,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1020,52128,162,52128,0.003107734806629834,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1021,52128,49199,52128,0.943811387354205,49199,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1022,52128,49200,52128,0.9438305709023941,49200,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1023,52128,38325,52128,0.7352094843462247,17378,0.4534377038486628,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1024,52128,25634,52128,0.4917510742786986,11564,0.4511196067722556,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1025,52128,27431,52128,0.5262239103744628,12372,0.4510225657103277,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,"Flag as low coverage; include in KDE/NCKDE, exclude or sensitivity-test in GWR/GWML"
1026,52128,11032,52128,0.21163290362185389,5179,0.46945250181290793,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1027,52128,49200,52128,0.9438305709023941,49200,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1028,52128,49198,52128,0.9437922038060159,49198,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1029,52128,50892,52128,0.9762891344383057,17322,0.3403678377741099,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1030,52128,175,52128,0.003357120933087784,116,0.6628571428571428,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1031,52128,51138,52128,0.9810082872928176,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1032,52128,51137,52128,0.9809891037446286,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1033,52128,30055,52128,0.5765615408225906,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,"Flag as low coverage; include in KDE/NCKDE, exclude or sensitivity-test in GWR/GWML"
1034,52128,0,52128,0,0,NA,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1035,52128,49199,52128,0.943811387354205,49199,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1036,52128,0,52128,0,0,NA,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1037,52128,52122,52128,0.9998848987108656,50298,0.9650051801542535,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1038,52128,51996,52128,0.9974677716390423,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1039,52128,0,52128,0,0,NA,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
1040,52128,41448,52128,0.7951197053406999,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1041,52128,51138,52128,0.9810082872928176,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1042,52128,49200,52128,0.9438305709023941,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1043,52128,49199,52128,0.943811387354205,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1044,52128,51138,52128,0.9810082872928176,51138,1,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1045,52128,37646,52128,0.722183855125844,17380,0.4616692344472188,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Flag as high invalid share; inspect before modelling
1046,52128,30424,52128,0.5836402701043585,13882,0.4562845122271891,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,"Flag as low coverage; include in KDE/NCKDE, exclude or sensitivity-test in GWR/GWML"
1047,52128,44268,52128,0.8492173112338858,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Pass
1048,52128,149,52128,0.0028583486801718847,0,0,2022-09-01T00:00:00Z,2023-02-28T23:55:00Z,0,0,Review before GWR/GWML; station may be unsuitable for demand modelling
