station_id,valid_rows,full_occ_rows,full_occ_pct,mean_util_raw,max_recorded_piles,min_recorded_piles,charge_count,pile_count_mismatch_flag
1001,41444,3800,0.09168999131357977,0.4009144870186491,20,20,20,FALSE
1002,41448,8188,0.19754873576529627,0.41979764348756454,22,22,22,FALSE
1003,38527,78,0.00202455420873673,0.07788044747838298,6,6,6,FALSE
1004,38711,1860,0.048048358347756455,0.60970924402507,11,11,11,FALSE
1005,965,3,0.0031088082901554403,0.6239284032030157,11,11,11,FALSE
1006,52002,3707,0.07128571978000846,0.42762778354675035,10,10,10,FALSE
1007,162,8,0.04938271604938271,0.4240740740740744,10,10,10,FALSE
1008,41444,3249,0.078394942573110707,0.5681538505409017,44,44,44,FALSE
1009,50884,193,0.0037929408065403665,0.3894858348836892,72,72,72,FALSE
1010,147,0,0,0.37008692365835255,72,72,72,FALSE
1011,50888,198,0.003890897657601006,0.3731872709902662,65,65,65,FALSE
1012,149,0,0,0.3220443985544654,65,65,65,FALSE
1013,49199,83,0.0016870261590682739,0.05174393788490257,28,28,28,FALSE
1014,51138,130,0.0025421408737142633,0.2610029071661942,12,12,12,FALSE
1015,51138,129,0.0025225859439164614,0.19662644869444285,12,12,12,FALSE
1016,41449,4091,0.09869960674563923,0.2921914993014736,22,22,22,FALSE
1017,51138,221,0.0043216394853142475,0.37875291694372615,6,6,6,FALSE
1018,38527,152,0.003945285124717731,0.18537216324493005,6,6,6,FALSE
1019,50577,579,0.011447891334005575,0.44081758050560305,13,13,13,FALSE
1020,162,0,0,0.38936372269705594,13,13,13,FALSE
1021,49199,2146,0.04361877273928332,0.5598064323800396,12,12,12,FALSE
1022,49200,4381,0.08904471544715448,0.6502354336043349,12,12,12,FALSE
1023,38325,311,0.00811480756686236,0.2945727332028702,32,32,32,FALSE
1024,25634,179,0.0069829133182492,0.3869809011879827,38,38,38,FALSE
1025,27431,413,0.01505595858700011,0.42233847350321313,24,24,24,FALSE
1026,11032,3,2.719361856417694e-4,0.3380269129102127,62,62,62,FALSE
1027,49200,73,0.001483739837398374,0.20414634146334992,17,17,17,FALSE
1028,49198,1488,0.03024513191593154,0.503013333875325,12,12,12,FALSE
1029,50892,196,0.0038512929340564334,0.27797704339204055,78,78,78,FALSE
1030,175,0,0,0.37963369963369953,78,78,78,FALSE
1031,51138,126,0.0024639211545230554,0.04533810473620879,12,12,12,FALSE
1032,51137,127,0.002483524649471029,0.17750747990691035,10,10,10,FALSE
1033,30055,157,0.005223756446514723,0.12890402682800087,38,38,38,FALSE
1035,49199,95,0.0019309335555600725,0.292759450847012,36,36,36,FALSE
1037,52122,355,0.006810943555504393,0.37614617453462007,55,55,55,FALSE
1038,51996,153,0.002942534041080083,0.22020948726824907,80,80,80,FALSE
1040,41448,2849,0.06873673036093418,0.6297939586952038,10,10,10,FALSE
1041,51138,132,0.0025812507333098675,0.1440986481025114,12,12,12,FALSE
1042,49200,75,0.001524390243902439,0.42428861788620675,19,19,19,FALSE
1043,49199,217,0.0044106587532266915,0.4590743714303755,15,15,15,FALSE
1044,51138,2043,0.039950721576909536,0.4050836299164385,6,6,6,FALSE
1045,37646,706,0.018753652446475057,0.8147051184426216,36,36,36,FALSE
1046,30424,211,0.006935314225611359,0.40255828731701654,30,30,30,FALSE
1047,44268,130,0.0029366585343814943,0.2216860937923456,20,20,20,FALSE
1048,149,0,0,0.24228187919463087,20,20,20,FALSE
1049,51138,7286,0.14247721850678555,0.6913083225781219,8,8,8,FALSE
1050,38130,1640,0.043010752688172046,0.610317335431435,10,10,10,FALSE
1051,41321,161,0.0038963239031001187,0.05731710268385659,15,15,15,FALSE
1052,40465,127,0.0031385147658470284,0.16428394909180774,8,8,8,FALSE
1053,27389,327,0.01193909963854102,0.04731218128932735,6,6,6,FALSE
1054,52002,216,0.004153686396677051,0.14808244554695135,12,12,12,FALSE
1056,38527,1233,0.032003529991953696,0.41003062787136296,4,4,4,FALSE
1057,43969,2499,0.05683549773704201,0.5172374119199284,17,17,17,FALSE
1058,51136,135,0.0026400187734668336,0.059308347674176816,24,24,24,FALSE
1059,46873,3554,0.075821901734474,0.1117788298361667,22,22,22,FALSE
1060,51138,123,0.0024052563651296493,0.11059002974644525,17,17,17,FALSE
1061,50227,294,0.005853425448463973,0.2392318872319855,10,10,10,FALSE
1062,38527,78,0.00202455420873673,0.09794862477398834,12,12,12,FALSE
1063,51138,132,0.0025812507333098675,0.0025812507333098675,1,1,1,FALSE
1064,38528,82,0.0021283222591362127,0.06824257682724712,12,12,12,FALSE
1065,51138,119,0.002327036645938441,0.044961672337596306,4,4,4,FALSE
1066,52002,162,0.003115264797507788,0.16304949809628108,10,10,10,FALSE
1067,162,0,0,0.25555555555555504,10,10,10,FALSE
1068,38528,33504,0.8696013289036545,0.9776785714285827,12,12,12,FALSE
1069,52002,178,0.003422945271335718,0.27465383601567783,82,82,82,FALSE
1070,188,0,0,0.27121172807472776,82,82,82,FALSE
1071,38527,89,0.002310068263814987,0.09703296101150534,18,18,18,FALSE
1072,41447,41434,0.9996863464183173,0.9996863464183173,14,14,14,FALSE
1073,51138,117,0.0022879267863428372,0.4449659092390681,12,12,12,FALSE
