time_parsed,n_stations,full_occ_stations,full_occ_station_share
2022-09-01T00:00:00Z,1480,54,0.03648648648648649
2022-09-01T00:05:00Z,1480,54,0.03648648648648649
2022-09-01T00:10:00Z,1505,54,0.035880398671096346
2022-09-01T00:15:00Z,1506,65,0.04316069057104914
2022-09-01T00:20:00Z,1510,67,0.04437086092715232
2022-09-01T00:25:00Z,1510,65,0.04304635761589404
2022-09-01T00:30:00Z,1510,74,0.04900662251655629
2022-09-01T00:35:00Z,1510,59,0.0390728476821192
2022-09-01T00:40:00Z,1510,71,0.04701986754966887
2022-09-01T00:45:00Z,1510,74,0.04900662251655629
2022-09-01T00:50:00Z,1510,72,0.04768211920529802
2022-09-01T00:55:00Z,1510,63,0.041721854304635764
2022-09-01T01:00:00Z,1510,60,0.039735099337748346
2022-09-01T01:05:00Z,1505,75,0.04983388704318937
2022-09-01T01:10:00Z,1504,59,0.03922872340425532
2022-09-01T01:15:00Z,1499,62,0.04136090727151434
2022-09-01T01:20:00Z,1499,68,0.04536357571714476
2022-09-01T01:25:00Z,1499,77,0.0513675783855904
2022-09-01T01:30:00Z,1499,65,0.04336224149432955
2022-09-01T01:35:00Z,1503,62,0.04125083166999335
2022-09-01T01:40:00Z,1503,85,0.056553559547571526
2022-09-01T01:45:00Z,1502,72,0.047936085219707054
2022-09-01T01:50:00Z,1502,82,0.05459387483355526
2022-09-01T01:55:00Z,1503,80,0.05322687957418496
2022-09-01T02:00:00Z,1503,74,0.049234863606121095
2022-09-01T02:05:00Z,1503,61,0.04058549567531603
2022-09-01T02:10:00Z,1503,70,0.046573519627411845
2022-09-01T02:15:00Z,1503,64,0.04258150365934797
2022-09-01T02:20:00Z,1506,56,0.03718459495351926
2022-09-01T02:25:00Z,1506,71,0.04714475431606906
2022-09-01T02:30:00Z,1506,63,0.04183266932270916
2022-09-01T02:35:00Z,1506,58,0.03851261620185923
2022-09-01T02:40:00Z,1506,74,0.049136786188579015
2022-09-01T02:45:00Z,1506,63,0.04183266932270916
2022-09-01T02:50:00Z,1506,70,0.04648074369189907
2022-09-01T02:55:00Z,1503,86,0.057218895542248835
2022-09-01T03:00:00Z,1502,72,0.047936085219707054
2022-09-01T03:05:00Z,1502,63,0.041944074567243674
2022-09-01T03:10:00Z,1503,69,0.04590818363273453
2022-09-01T03:15:00Z,1503,63,0.041916167664670656
2022-09-01T03:20:00Z,1503,72,0.04790419161676647
2022-09-01T03:25:00Z,1503,54,0.03592814371257485
2022-09-01T03:30:00Z,1503,61,0.04058549567531603
2022-09-01T03:35:00Z,1503,54,0.03592814371257485
2022-09-01T03:40:00Z,1503,70,0.046573519627411845
2022-09-01T03:45:00Z,1503,65,0.04324683965402528
2022-09-01T03:50:00Z,1503,65,0.04324683965402528
2022-09-01T03:55:00Z,1503,56,0.037258815701929474
2022-09-01T04:00:00Z,1503,59,0.039254823685961414
2022-09-01T04:05:00Z,1503,64,0.04258150365934797
2022-09-01T04:10:00Z,1503,61,0.04058549567531603
2022-09-01T04:15:00Z,1502,76,0.05059920106524634
2022-09-01T04:20:00Z,1502,61,0.04061251664447404
2022-09-01T04:25:00Z,1502,95,0.06324900133155792
2022-09-01T04:30:00Z,1502,62,0.041278295605858856
2022-09-01T04:35:00Z,1502,72,0.047936085219707054
2022-09-01T04:40:00Z,1502,75,0.049933422103861515
2022-09-01T04:45:00Z,1502,69,0.045938748335552594
2022-09-01T04:50:00Z,1502,59,0.039280958721704395
2022-09-01T04:55:00Z,1502,70,0.04660452729693742
2022-09-01T05:00:00Z,1501,67,0.04463690872751499
2022-09-01T05:05:00Z,1501,72,0.047968021319120584
2022-09-01T05:10:00Z,1502,57,0.03794940079893475
2022-09-01T05:15:00Z,1502,64,0.0426098535286285
2022-09-01T05:20:00Z,1502,59,0.039280958721704395
2022-09-01T05:25:00Z,1502,106,0.07057256990679095
2022-09-01T05:30:00Z,1502,61,0.04061251664447404
2022-09-01T05:35:00Z,1502,65,0.043275632490013316
2022-09-01T05:40:00Z,1502,55,0.03661784287616511
2022-09-01T05:45:00Z,1503,65,0.04324683965402528
2022-09-01T05:50:00Z,1503,61,0.04058549567531603
2022-09-01T05:55:00Z,1503,66,0.043912175648702596
2022-09-01T06:00:00Z,1503,62,0.04125083166999335
2022-09-01T06:05:00Z,1503,58,0.0385894876912841
2022-09-01T06:10:00Z,1503,66,0.043912175648702596
2022-09-01T06:15:00Z,1503,72,0.04790419161676647
2022-09-01T06:20:00Z,1503,69,0.04590818363273453
2022-09-01T06:25:00Z,1503,78,0.05189620758483034
2022-09-01T06:30:00Z,1503,65,0.04324683965402528
2022-09-01T06:35:00Z,1503,72,0.04790419161676647
2022-09-01T06:40:00Z,1503,63,0.041916167664670656
2022-09-01T06:45:00Z,1503,63,0.041916167664670656
2022-09-01T06:50:00Z,1502,72,0.047936085219707054
2022-09-01T06:55:00Z,1503,58,0.0385894876912841
2022-09-01T07:00:00Z,1503,51,0.033932135728542916
